Biomarker_1,Biomarker_2,Biomarker_3,AUC,se_97_Threshold,se_97_Sensitivity,se_97_Specificity,se_97_NPV,se_97_PPV,se_95_Threshold,se_95_Sensitivity,se_95_Specificity,se_95_NPV,se_95_PPV,max_sum_Threshold,max_sum_Sensitivity,max_sum_Specificity,max_sum_NPV,max_sum_PPV
Endometrial_thickness,KPYM_TIMP2_norm,MVP_MMP9_norm,0.95669,0.06061,0.98182,0.41818,0.95833,0.62791,0.28283,0.94545,0.87273,0.94118,0.88136,0.63636,0.85455,0.98182,0.87097,0.97917
Endometrial_thickness,TIMP2_KPYM_norm,MVP_MMP9_norm,0.95669,0.06061,0.98182,0.41818,0.95833,0.62791,0.28283,0.94545,0.87273,0.94118,0.88136,0.63636,0.85455,0.98182,0.87097,0.97917
Endometrial_thickness,TIMP2_PERM_norm,PERM_CLIC1_norm,0.95332,0.15152,0.98246,0.62500,0.97222,0.72727,0.24242,0.94737,0.75000,0.93333,0.79412,0.31313,0.91228,0.87500,0.90741,0.88136
Endometrial_thickness,TIMP2_PERM_norm,CLIC1_TIMP2_norm,0.95332,0.15152,0.98246,0.62500,0.97222,0.72727,0.24242,0.94737,0.75000,0.93333,0.79412,0.31313,0.91228,0.87500,0.90741,0.88136
Endometrial_thickness,TIMP2_PERM_norm,CLIC1_PERM_norm,0.95332,0.15152,0.98246,0.62500,0.97222,0.72727,0.24242,0.94737,0.75000,0.93333,0.79412,0.31313,0.91228,0.87500,0.90741,0.88136
Endometrial_thickness,TIMP2_CLIC1_norm,PERM_TIMP2_norm,0.95332,0.15152,0.98246,0.62500,0.97222,0.72727,0.24242,0.94737,0.75000,0.93333,0.79412,0.31313,0.91228,0.87500,0.90741,0.88136
Endometrial_thickness,TIMP2_CLIC1_norm,PERM_CLIC1_norm,0.95332,0.15152,0.98246,0.62500,0.97222,0.72727,0.24242,0.94737,0.75000,0.93333,0.79412,0.31313,0.91228,0.87500,0.90741,0.88136
Endometrial_thickness,TIMP2_CLIC1_norm,CLIC1_PERM_norm,0.95332,0.15152,0.98246,0.62500,0.97222,0.72727,0.24242,0.94737,0.75000,0.93333,0.79412,0.31313,0.91228,0.87500,0.90741,0.88136
Endometrial_thickness,PERM_TIMP2_norm,CLIC1_TIMP2_norm,0.95332,0.15152,0.98246,0.62500,0.97222,0.72727,0.24242,0.94737,0.75000,0.93333,0.79412,0.31313,0.91228,0.87500,0.90741,0.88136
Endometrial_thickness,PERM_TIMP2_norm,CLIC1_PERM_norm,0.95332,0.15152,0.98246,0.62500,0.97222,0.72727,0.24242,0.94737,0.75000,0.93333,0.79412,0.31313,0.91228,0.87500,0.90741,0.88136
Endometrial_thickness,PERM_CLIC1_norm,CLIC1_TIMP2_norm,0.95332,0.15152,0.98246,0.62500,0.97222,0.72727,0.24242,0.94737,0.75000,0.93333,0.79412,0.31313,0.91228,0.87500,0.90741,0.88136
Endometrial_thickness,MMP9_KPYM_norm,TIMP2_CLIC1_norm,0.9532,0.08081,1.00000,0.54545,1.00000,0.68354,0.15152,0.96296,0.65455,0.94737,0.73239,0.42424,0.85185,0.92727,0.86441,0.92000
