Biomarker_1,Biomarker_2,Biomarker_3,Biomarker_4,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
HSPB1_AGRIN,PERM_ADIPOQ,TIMP-2_PERM,AGRIN_TIMP-2,0.88131,1.0,0.24444,1.0,0.5641,0.0101
MMP9_HSPB1,TIMP-2_MMP9,AGRIN_MMP9,KPYM_MMP9,0.88126,1.0,0.22449,1.0,0.5914,0.0101
PERM_KPYM,ADIPOQ_KPYM,TIMP-2_PERM,AGRIN_PERM,0.88125,1.0,0.29787,1.0,0.56579,0.0101
TIMP-2_MMP9,AGRIN_MMP9,KPYM_ADIPOQ,,0.8812,1.0,0.19608,1.0,0.55435,0.0101
ADIPOQ_MMP9,TIMP-2_MMP9,AGRIN_MMP9,KPYM_TIMP-2,0.8812,1.0,0.17647,1.0,0.54839,0.0101
MMP9_ADIPOQ,ADIPOQ_KPYM,TIMP-2_MMP9,AGRIN_MMP9,0.88113,0.98039,0.1875,0.9,0.5618,0.0101
MMP9_AGRIN,ADIPOQ_KPYM,TIMP-2_MMP9,AGRIN_MMP9,0.88113,0.98039,0.20833,0.90909,0.56818,0.0101
HSPB1_MMP9,TIMP-2_MMP9,AGRIN_ADIPOQ,KPYM_MMP9,0.8811,1.0,0.21277,1.0,0.57955,0.0101
HSPB1_MMP9,ADIPOQ_PERM,TIMP-2_PERM,AGRIN_ADIPOQ,0.88108,1.0,0.23256,1.0,0.57143,0.0101
MMP9_ADIPOQ,HSPB1_MMP9,TIMP-2_KPYM,AGRIN_KPYM,0.88102,1.0,0.06818,1.0,0.55435,0.0101
HSPB1_PERM,ADIPOQ_KPYM,TIMP-2_PERM,KPYM_PERM,0.88102,1.0,0.30233,1.0,0.58904,0.0101
MMP9_TIMP-2,TIMP-2_MMP9,AGRIN_MMP9,KPYM_MMP9,0.88096,1.0,0.22642,1.0,0.57292,0.0101
HSPB1_AGRIN,ADIPOQ_MMP9,TIMP-2_MMP9,AGRIN_ADIPOQ,0.88093,0.98077,0.10638,0.83333,0.54839,0.0101
MMP9_HSPB1,TIMP-2_MMP9,AGRIN_MMP9,KPYM_TIMP-2,0.88089,0.98182,0.16327,0.88889,0.56842,0.0101
MMP9_AGRIN,HSPB1_KPYM,TIMP-2_PERM,AGRIN_PERM,0.88075,1.0,0.25581,1.0,0.59494,0.0101
ADIPOQ_TIMP-2,TIMP-2_KPYM,AGRIN_ADIPOQ,KPYM_MMP9,0.88072,1.0,0.125,1.0,0.54839,0.0101
MMP9_HSPB1,TIMP-2_MMP9,AGRIN_MMP9,KPYM_ADIPOQ,0.88068,1.0,0.23404,1.0,0.58621,0.0101
MMP9_KPYM,HSPB1_TIMP-2,TIMP-2_KPYM,AGRIN_KPYM,0.88063,1.0,0.06522,1.0,0.56122,0.0101
MMP9_ADIPOQ,PERM_KPYM,TIMP-2_PERM,AGRIN_PERM,0.88062,1.0,0.26667,1.0,0.56579,0.0101
HSPB1_PERM,ADIPOQ_PERM,TIMP-2_PERM,KPYM_ADIPOQ,0.88062,1.0,0.28889,1.0,0.57333,0.0101
